label,label_birdnet,novel,train,order,family
abiotic aircraft,Abiotic_Abiotic Aircraft,1,1,Abiotic,Abiotic
abiotic logging,Abiotic_Abiotic Logging,1,1,Abiotic,Abiotic
abiotic rain,Abiotic_Abiotic Rain,1,1,Abiotic,Abiotic
abiotic vehicle,Abiotic_Abiotic Vehicle,1,1,Abiotic,Abiotic
abiotic wind,Abiotic_Abiotic Wind,1,1,Abiotic,Abiotic
biotic anuran,Biotic_Biotic Anuran,1,1,Biotic,Biotic
biotic insect,Biotic_Biotic Insect,1,1,Biotic,Biotic
american robin,Turdus migratorius_American Robin,0,1,Passeriformes,Turdidae
band-tailed pigeon,Patagioenas fasciata_Band-tailed Pigeon,0,1,Columbiformes,Columbidae
barred owl,Strix varia_Barred Owl,0,1,Strigiformes,Strigidae
belted kingfisher,Megaceryle alcyon_Belted Kingfisher,0,1,Coraciiformes,Alcedinidae
black-throated gray warbler,Setophaga nigrescens_Black-throated Gray Warbler,0,1,Passeriformes,Parulidae
common raven,Corvus corax_Common Raven,0,1,Passeriformes,Corvidae
dark-eyed junco,Junco hyemalis_Dark-eyed Junco,0,1,Passeriformes,Passerellidae
golden-crowned kinglet,Regulus satrapa_Golden-crowned Kinglet,0,1,Passeriformes,Regulidae
hairy woodpecker,Dryobates villosus_Hairy Woodpecker,0,1,Piciformes,Picidae
hammond's flycatcher,Empidonax hammondii_Hammond's Flycatcher,0,1,Passeriformes,Tyrannidae
hermit thrush,Catharus guttatus_Hermit Thrush,0,1,Passeriformes,Turdidae
hutton's vireo,Vireo huttoni_Hutton's Vireo,0,1,Passeriformes,Vireonidae
marbled murrelet,Brachyramphus marmoratus_Marbled Murrelet,0,1,Charadriiformes,Alcidae
northern flicker,Colaptes auratus_Northern Flicker,0,1,Piciformes,Picidae
northern pygmy-owl,Glaucidium californicum_Northern Pygmy-owl,0,1,Strigiformes,Strigidae
northern saw-whet owl,Aegolius acadicus_Northern Saw-whet Owl,0,1,Strigiformes,Strigidae
olive-sided flycatcher,Contopus cooperi_Olive-sided Flycatcher,0,1,Passeriformes,Tyrannidae
pacific wren,Troglodytes pacificus_Pacific Wren,0,1,Passeriformes,Troglodytidae
